ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_otd_rundate2022-03-23,4,otd,46,49,24.0,19.95782972,291.752837141383,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,28,30,12.0,7.032079588,223.897014907375,14.000000000000021,2.0,12.000000000000021,0.0
ex4_otd_rundate2022-03-23,4,otd,16,11,6.0,4.135852867,144.635290896493,5.0,5.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,3,4,6.0,3.991886451,88.062870904084,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,10,19,12.0,9.25619282,325.538062031932,22.0,22.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,42,38,18.0,14.82727757,280.191453008292,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,2,3,6.0,2.014879861,52.026967685208,2.0,1.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,30,6.0,5.76499377,176.131529642208,51.0,51.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,25,12.0,8.242946924,265.194331873194,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,45,50,12.0,7.190479209,220.81507557776,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,31,12.0,9.20443652,230.50805487632,26.0,26.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,28,29,18.0,17.82532222,424.987497459855,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,17,12.0,8.109651283,252.506970181974,10.000000000000156,1.0,9.000000000000156,0.0
ex4_otd_rundate2022-03-23,4,otd,5,4,12.0,6.483729667,128.699985818995,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,51,52,24.0,18.33585493,226.052352419419,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,43,44,6.0,4.698885321,135.060552524566,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,2,1,6.0,2.187683389,94.0520598724769,3.0000000000016764,2.0,1.0000000000016764,0.0
ex4_otd_rundate2022-03-23,4,otd,31,21,24.0,19.96182667,364.587657975129,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,40,39,6.0,4.114458254,92.9256367665352,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,5,9,6.0,4.117803269,160.906162991854,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,31,27,12.0,6.544668642,131.888115179211,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,21,12.0,8.425634306,238.494202327232,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,44,60,18.0,16.36713267,442.021543158779,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,45,56,12.0,9.162009769,215.728481914269,28.00000000000233,24.0,4.000000000002329,0.0
ex4_otd_rundate2022-03-23,4,otd,23,19,12.0,6.562056459,186.217082891239,2.0,0.0,2.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,40,12.0,11.58987319,339.20869534341,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,22,18.0,14.08238815,277.677242023253,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,46,42,12.0,8.029947477,192.726148915441,2.0,1.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,9,18,12.0,8.877460834,334.331659575354,19.0,14.0,5.0,0.0
ex4_otd_rundate2022-03-23,4,otd,20,16,18.0,16.49453042,275.720335325065,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,34,38,12.0,6.51723128,246.846158338184,20.0,19.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,18,29,18.0,12.37457,327.537095262975,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,10,18.0,14.83286764,512.471794774509,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,64,18.0,12.84607139,300.585587880085,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,27,12.0,10.8800795,223.36504284514,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,54,55,12.0,9.018922361,251.413302505244,4.000000000000185,3.0,1.0000000000001843,0.0
ex4_otd_rundate2022-03-23,4,otd,28,31,12.0,9.434176667,239.068657774128,11.0,9.0,2.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,26,12.0,10.88502439,205.516450111238,18.0,14.0,4.0,0.0
ex4_otd_rundate2022-03-23,4,otd,55,60,12.0,7.719619166,175.083419846851,3.0,3.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,31,12.0,7.228457702,131.888115179211,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,22,29,12.0,7.927844099,195.156352093002,3.0,3.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,58,52,12.0,8.277081228,156.613644032919,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,50,49,30.0,29.27748203,422.616156376324,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,13,18.0,14.40658722,377.893051848251,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,53,56,6.0,1.9396375,36.6503806147809,8.000000000000075,0.0,8.000000000000075,0.0
ex4_otd_rundate2022-03-23,4,otd,15,26,12.0,11.04091075,325.436340123633,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,41,46,12.0,10.44630278,135.725564949416,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,61,60,6.0,1.75,65.9648991921843,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,33,24,12.0,9.777156177,265.984125374118,22.999999281566677,16.0,6.999999281566678,0.0
ex4_otd_rundate2022-03-23,4,otd,60,61,6.0,5.265111111,65.9648991921843,1.0000000000027849,0.0,1.0000000000027849,0.0
ex4_otd_rundate2022-03-23,4,otd,53,64,12.0,10.48611722,377.593080541843,2.0000000000004263,1.0,1.0000000000004263,0.0
ex4_otd_rundate2022-03-23,4,otd,22,27,18.0,14.08238815,277.677242023253,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,29,15,24.0,18.60927163,408.712905996668,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,18,22,6.0,4.152508987,136.081524611731,11.0,10.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,27,12.0,10.18822722,271.868085412542,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,1,12.0,8.823131241,231.70697168091,2.0,1.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,11,6,12.0,6.630303352,240.878954790344,13.000000000000348,8.0,5.000000000000348,0.0
ex4_otd_rundate2022-03-23,4,otd,21,18,18.0,12.68434497,206.664757229232,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,31,18.0,14.93580361,205.489460058827,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,59,57,12.0,6.759575737,218.234504098085,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,13,25,18.0,14.40658722,377.893051848251,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,16,12.0,9.617983038,267.836855260699,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,46,38,66.0,63.28934278,294.327835507317,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,20,19,12.0,9.444444259,266.851876083053,6.0,2.0,4.0,0.0
ex4_otd_rundate2022-03-23,4,otd,11,16,6.0,4.144170722,144.635290896493,5.0,0.0,5.0,0.0
ex4_otd_rundate2022-03-23,4,otd,43,47,6.0,5.736752688,173.937696063878,26.0,26.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,15,12.0,10.23172685,325.436340123633,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,8,14,12.0,7.612384841,271.409197101588,18.0,18.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,14,24,12.0,10.58152186,280.877491925992,18.0,18.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,2,7,6.0,5.966326667,217.951370235144,1.9999991232247343,0.0,1.9999991232247343,0.0
ex4_otd_rundate2022-03-23,4,otd,8,3,18.0,12.5044975,267.464597505265,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,60,55,6.0,5.357021349,175.083419846851,3.0,2.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,4,3,30.0,26.06069347,88.062870904084,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,59,63,18.0,14.36712208,314.845463574063,0.0,0.0,0.0,0.0
