experiment_id,instance,method,weekstart,horizon,tstep,numdrivers,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varfixingthreshold
45,4,ip,2019-07-14,5,3,1.4,0,0.001,500,,,
46,4,basisip,2019-07-14,5,3,1.4,0,0.001,500,,,
47,4,mag,2019-07-14,5,3,1.4,0,0.001,500,,,
48,4,sag,2019-07-14,5,3,1.4,0,0.001,500,,,
49,4,ip,2019-07-21,5,3,1.4,0,0.001,500,,,
50,4,basisip,2019-07-21,5,3,1.4,0,0.001,500,,,
51,4,mag,2019-07-21,5,3,1.4,0,0.001,500,,,
52,4,sag,2019-07-21,5,3,1.4,0,0.001,500,,,
53,4,ip,2019-07-28,5,3,1.4,0,0.001,500,,,
54,4,basisip,2019-07-28,5,3,1.4,0,0.001,500,,,
55,4,mag,2019-07-28,5,3,1.4,0,0.001,500,,,
56,4,sag,2019-07-28,5,3,1.4,0,0.001,500,,,
57,4,ip,2019-08-04,5,3,1.4,0,0.001,500,,,
58,4,basisip,2019-08-04,5,3,1.4,0,0.001,500,,,
59,4,mag,2019-08-04,5,3,1.4,0,0.001,500,,,
60,4,sag,2019-08-04,5,3,1.4,0,0.001,500,,,
61,4,ip,2019-08-11,5,3,1.4,0,0.001,500,,,
62,4,basisip,2019-08-11,5,3,1.4,0,0.001,500,,,
63,4,mag,2019-08-11,5,3,1.4,0,0.001,500,,,
64,4,sag,2019-08-11,5,3,1.4,0,0.001,500,,,
65,4,ip,2019-06-23,7,6,1.4,0,0.001,500,,,
66,4,basisip,2019-06-23,7,6,1.4,0,0.001,500,,,
67,4,mag,2019-06-23,7,6,1.4,0,0.001,500,,,
68,4,sag,2019-06-23,7,6,1.4,0,0.001,500,,,
69,4,ip,2019-06-30,7,6,1.4,0,0.001,500,,,
70,4,basisip,2019-06-30,7,6,1.4,0,0.001,500,,,
71,4,mag,2019-06-30,7,6,1.4,0,0.001,500,,,
72,4,sag,2019-06-30,7,6,1.4,0,0.001,500,,,
73,4,ip,2019-07-07,7,6,1.4,0,0.001,500,,,
74,4,basisip,2019-07-07,7,6,1.4,0,0.001,500,,,
75,4,mag,2019-07-07,7,6,1.4,0,0.001,500,,,
76,4,sag,2019-07-07,7,6,1.4,0,0.001,500,,,
77,4,ip,2019-07-14,7,6,1.4,0,0.001,500,,,
78,4,basisip,2019-07-14,7,6,1.4,0,0.001,500,,,
79,4,mag,2019-07-14,7,6,1.4,0,0.001,500,,,
80,4,sag,2019-07-14,7,6,1.4,0,0.001,500,,,
81,4,ip,2019-07-21,7,6,1.4,0,0.001,500,,,
82,4,basisip,2019-07-21,7,6,1.4,0,0.001,500,,,
83,4,mag,2019-07-21,7,6,1.4,0,0.001,500,,,
84,4,sag,2019-07-21,7,6,1.4,0,0.001,500,,,
85,4,ip,2019-07-28,7,6,1.4,0,0.001,500,,,
86,4,basisip,2019-07-28,7,6,1.4,0,0.001,500,,,
87,4,mag,2019-07-28,7,6,1.4,0,0.001,500,,,
88,4,sag,2019-07-28,7,6,1.4,0,0.001,500,,,
89,4,ip,2019-08-04,7,6,1.4,0,0.001,500,,,
90,4,basisip,2019-08-04,7,6,1.4,0,0.001,500,,,
91,4,mag,2019-08-04,7,6,1.4,0,0.001,500,,,
92,4,sag,2019-08-04,7,6,1.4,0,0.001,500,,,
93,4,ip,2019-08-11,7,6,1.4,0,0.001,500,,,
94,4,basisip,2019-08-11,7,6,1.4,0,0.001,500,,,
95,4,mag,2019-08-11,7,6,1.4,0,0.001,500,,,
96,4,sag,2019-08-11,7,6,1.4,0,0.001,500,,,
97,4,ip,2019-06-23,5,6,1.4,0,0.001,1000,,,
98,4,basisip,2019-06-23,5,6,1.4,0,0.001,1000,,,
99,4,mag,2019-06-23,5,6,1.4,0,0.001,1000,,,
100,4,sag,2019-06-23,5,6,1.4,0,0.001,1000,,,
101,4,ip,2019-06-30,5,6,1.4,0,0.001,1000,,,
102,4,basisip,2019-06-30,5,6,1.4,0,0.001,1000,,,
103,4,mag,2019-06-30,5,6,1.4,0,0.001,1000,,,
104,4,sag,2019-06-30,5,6,1.4,0,0.001,1000,,,
105,4,ip,2019-07-07,5,6,1.4,0,0.001,1000,,,
106,4,basisip,2019-07-07,5,6,1.4,0,0.001,1000,,,
107,4,mag,2019-07-07,5,6,1.4,0,0.001,1000,,,
108,4,sag,2019-07-07,5,6,1.4,0,0.001,1000,,,
109,4,ip,2019-07-14,5,6,1.4,0,0.001,1000,,,
110,4,basisip,2019-07-14,5,6,1.4,0,0.001,1000,,,
111,4,mag,2019-07-14,5,6,1.4,0,0.001,1000,,,
112,4,sag,2019-07-14,5,6,1.4,0,0.001,1000,,,
113,4,ip,2019-07-21,5,6,1.4,0,0.001,1000,,,
114,4,basisip,2019-07-21,5,6,1.4,0,0.001,1000,,,
