experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
230,4,fragip,2019-07-21,7,6,1,,0.001,500
231,4,fragip,2019-07-21,7,6,1,,0.001,1000
232,4,fragmvg,2019-07-28,5,6,1,,0.001,100
233,4,fragmvg,2019-07-28,5,6,1,,0.001,500
234,4,fragmvg,2019-07-28,5,6,1,,0.001,1000
235,4,fragmvg,2019-07-28,5,3,1,,0.001,100
236,4,fragmvg,2019-07-28,5,3,1,,0.001,500
237,4,fragmvg,2019-07-28,5,3,1,,0.001,1000
238,4,fragmvg,2019-07-28,7,6,1,,0.001,100
239,4,fragmvg,2019-07-28,7,6,1,,0.001,500
240,4,fragmvg,2019-07-28,7,6,1,,0.001,1000
241,4,fragsvg,2019-07-28,5,6,1,,0.001,100
242,4,fragsvg,2019-07-28,5,6,1,,0.001,500
243,4,fragsvg,2019-07-28,5,6,1,,0.001,1000
244,4,fragsvg,2019-07-28,5,3,1,,0.001,100
245,4,fragsvg,2019-07-28,5,3,1,,0.001,500
246,4,fragsvg,2019-07-28,5,3,1,,0.001,1000
247,4,fragsvg,2019-07-28,7,6,1,,0.001,100
248,4,fragsvg,2019-07-28,7,6,1,,0.001,500
249,4,fragsvg,2019-07-28,7,6,1,,0.001,1000
250,4,fragip,2019-07-28,5,6,1,,0.001,100
251,4,fragip,2019-07-28,5,6,1,,0.001,500
252,4,fragip,2019-07-28,5,6,1,,0.001,1000
253,4,fragip,2019-07-28,5,3,1,,0.001,100
254,4,fragip,2019-07-28,5,3,1,,0.001,500
255,4,fragip,2019-07-28,5,3,1,,0.001,1000
256,4,fragip,2019-07-28,7,6,1,,0.001,100
257,4,fragip,2019-07-28,7,6,1,,0.001,500
258,4,fragip,2019-07-28,7,6,1,,0.001,1000
259,4,fragmvg,2019-08-04,5,6,1,,0.001,100
260,4,fragmvg,2019-08-04,5,6,1,,0.001,500
261,4,fragmvg,2019-08-04,5,6,1,,0.001,1000
262,4,fragmvg,2019-08-04,5,3,1,,0.001,100
263,4,fragmvg,2019-08-04,5,3,1,,0.001,500
264,4,fragmvg,2019-08-04,5,3,1,,0.001,1000
265,4,fragmvg,2019-08-04,7,6,1,,0.001,100
266,4,fragmvg,2019-08-04,7,6,1,,0.001,500
267,4,fragmvg,2019-08-04,7,6,1,,0.001,1000
268,4,fragsvg,2019-08-04,5,6,1,,0.001,100
269,4,fragsvg,2019-08-04,5,6,1,,0.001,500
270,4,fragsvg,2019-08-04,5,6,1,,0.001,1000
271,4,fragsvg,2019-08-04,5,3,1,,0.001,100
272,4,fragsvg,2019-08-04,5,3,1,,0.001,500
273,4,fragsvg,2019-08-04,5,3,1,,0.001,1000
274,4,fragsvg,2019-08-04,7,6,1,,0.001,100
275,4,fragsvg,2019-08-04,7,6,1,,0.001,500
