experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mip_focus,deadline_sp,old_id
81,4,mag,2019-06-23,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,97
82,4,mag,2019-06-30,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,98
83,4,mag,2019-07-07,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,99
84,4,mag,2019-07-14,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,100
85,4,mag,2019-07-21,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,101
86,4,mag,2019-07-28,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,102
87,4,mag,2019-08-04,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,103
88,4,mag,2019-08-11,5,6,8,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,104
89,4,mag,2019-06-23,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,105
90,4,mag,2019-06-30,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,106
91,4,mag,2019-07-07,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,107
92,4,mag,2019-07-14,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,108
93,4,mag,2019-07-21,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,109
94,4,mag,2019-07-28,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,110
95,4,mag,2019-08-04,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,111
96,4,mag,2019-08-11,5,6,8,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,112
97,4,mag,2019-06-23,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,113
98,4,mag,2019-06-30,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,114
99,4,mag,2019-07-07,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,115
100,4,mag,2019-07-14,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,116
101,4,mag,2019-07-21,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,117
102,4,mag,2019-07-28,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,118
103,4,mag,2019-08-04,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,119
104,4,mag,2019-08-11,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,120
105,4,mag,2019-06-23,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,121
106,4,mag,2019-06-30,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,122
107,4,mag,2019-07-07,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,123
108,4,mag,2019-07-14,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,124
109,4,mag,2019-07-21,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,125
110,4,mag,2019-07-28,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,126
111,4,mag,2019-08-04,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,127
112,4,mag,2019-08-11,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,128
113,4,mag,2019-06-23,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,129
114,4,mag,2019-06-30,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,130
115,4,mag,2019-07-07,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,131
116,4,mag,2019-07-14,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,132
117,4,mag,2019-07-21,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,133
118,4,mag,2019-07-28,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,134
119,4,mag,2019-08-04,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,135
120,4,mag,2019-08-11,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,136
121,4,mag,2019-06-23,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,137
122,4,mag,2019-06-30,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,138
123,4,mag,2019-07-07,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,139
124,4,mag,2019-07-14,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,140
125,4,mag,2019-07-21,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,141
126,4,mag,2019-07-28,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,142
127,4,mag,2019-08-04,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,143
128,4,mag,2019-08-11,5,6,13,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,144
129,4,mag,2019-06-23,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,145
130,4,mag,2019-06-30,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,146
131,4,mag,2019-07-07,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,147
132,4,mag,2019-07-14,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,148
133,4,mag,2019-07-21,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,149
134,4,mag,2019-07-28,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,150
135,4,mag,2019-08-04,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,151
136,4,mag,2019-08-11,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,152
137,4,mag,2019-06-23,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,153
138,4,mag,2019-06-30,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,154
139,4,mag,2019-07-07,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,155
140,4,mag,2019-07-14,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,156
141,4,mag,2019-07-21,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,157
142,4,mag,2019-07-28,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,158
143,4,mag,2019-08-04,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,159
144,4,mag,2019-08-11,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,160
145,4,mag,2019-06-23,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,161
146,4,mag,2019-06-30,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,162
147,4,mag,2019-07-07,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,163
148,4,mag,2019-07-14,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,164
149,4,mag,2019-07-21,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,165
150,4,mag,2019-07-28,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,166
151,4,mag,2019-08-04,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,167
152,4,mag,2019-08-11,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,168
153,4,mag,2019-06-23,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,169
154,4,mag,2019-06-30,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,170
155,4,mag,2019-07-07,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,171
156,4,mag,2019-07-14,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,172
157,4,mag,2019-07-21,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,173
158,4,mag,2019-07-28,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,174
159,4,mag,2019-08-04,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,175
160,4,mag,2019-08-11,5,6,13,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,176
161,4,mag,2019-06-23,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,177
162,4,mag,2019-06-30,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,178
163,4,mag,2019-07-07,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,179
164,4,mag,2019-07-14,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,180
165,4,mag,2019-07-21,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,181
166,4,mag,2019-07-28,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,182
167,4,mag,2019-08-04,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,183
168,4,mag,2019-08-11,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,184
169,4,mag,2019-06-23,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,185
170,4,mag,2019-06-30,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,186
171,4,mag,2019-07-07,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,187
172,4,mag,2019-07-14,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,188
173,4,mag,2019-07-21,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,189
174,4,mag,2019-07-28,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,190
175,4,mag,2019-08-04,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,191
176,4,mag,2019-08-11,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,192
177,4,mag,2019-06-23,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,193
178,4,mag,2019-06-30,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,194
179,4,mag,2019-07-07,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,195
180,4,mag,2019-07-14,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,196
181,4,mag,2019-07-21,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,197
182,4,mag,2019-07-28,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,198
183,4,mag,2019-08-04,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,199
184,4,mag,2019-08-11,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,200
185,4,mag,2019-06-23,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,201
186,4,mag,2019-06-30,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,202
187,4,mag,2019-07-07,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,203
188,4,mag,2019-07-14,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,204
189,4,mag,2019-07-21,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,205
190,4,mag,2019-07-28,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,206
191,4,mag,2019-08-04,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,207
192,4,mag,2019-08-11,5,6,13,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,208
193,4,mag,2019-06-23,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,209
194,4,mag,2019-06-30,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,210
195,4,mag,2019-07-07,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,211
196,4,mag,2019-07-14,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,212
197,4,mag,2019-07-21,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,213
198,4,mag,2019-07-28,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,214
199,4,mag,2019-08-04,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,215
200,4,mag,2019-08-11,5,6,13,0,0.01,0,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,216
201,4,mag,2019-06-23,5,6,13,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,217
202,4,mag,2019-06-30,5,6,13,0,0.01,1000000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,218
