ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_bns_rundate2022-03-24,4,bns,14,16,12,8.058050185,261.7383866,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,22,12,12,10.32215408,291.6610287,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,44,43,6,4.785632087,135.0605525,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,6,4,6,5.273215833,99.18720543,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,55,53,6,2.107481111,32.74712563,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,51,49,12,7.207493543,237.3921425,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,45,37,12,8.198913615,293.7092126,66,65,1,0
ex4_bns_rundate2022-03-24,4,bns,25,30,6,5.76499377,176.1315296,49,48,1,0
ex4_bns_rundate2022-03-24,4,bns,8,14,12,7.612384841,271.4091971,25,24,1,0
ex4_bns_rundate2022-03-24,4,bns,8,13,12,7.093338847,259.3275339,23,22,1,0
ex4_bns_rundate2022-03-24,4,bns,26,21,12,8.245203931,245.5998838,22,21,1,0
ex4_bns_rundate2022-03-24,4,bns,11,10,6,2.359573778,106.6469161,16,15,1,0
ex4_bns_rundate2022-03-24,4,bns,17,21,12,8.137530523,252.5069702,14,13,1,0
ex4_bns_rundate2022-03-24,4,bns,22,26,6,3.635994201,107.7633541,13,12,1,0
ex4_bns_rundate2022-03-24,4,bns,39,35,6,3.443703567,130.0858469,10,9,1,0
ex4_bns_rundate2022-03-24,4,bns,48,49,6,4.679927501,135.3026374,10,9,1,0
ex4_bns_rundate2022-03-24,4,bns,7,2,6,5.792768582,217.9513702,9,8,1,0
ex4_bns_rundate2022-03-24,4,bns,19,20,12,9.670389559,266.8518761,8,7,1,0
ex4_bns_rundate2022-03-24,4,bns,29,35,12,8.637178555,215.4509026,8,7,1,0
ex4_bns_rundate2022-03-24,4,bns,34,38,12,6.51723128,246.8461583,7,6,1,0
ex4_bns_rundate2022-03-24,4,bns,17,23,12,6.353685238,199.1017385,7,6,1,0
ex4_bns_rundate2022-03-24,4,bns,29,32,6,5.837185009,123.6825211,6,5,1,0
ex4_bns_rundate2022-03-24,4,bns,32,29,6,5.840128056,123.6825211,5,4,1,0
ex4_bns_rundate2022-03-24,4,bns,64,53,12,10.48611722,377.5930805,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,16,19,6,2.08,75.71757678,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,47,44,6,1.653063473,53.99585401,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,39,40,6,3.030815001,92.92563677,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,18,15,6,2.220464653,81.72330061,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,30,28,12,7.75369283,223.8970149,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,55,56,6,1.25,36.13782098,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,39,43,12,6.440940933,195.0410947,4,3,1,0
ex4_bns_rundate2022-03-24,4,bns,5,9,6,4.117803269,160.906163,3,2,1,0
ex4_bns_rundate2022-03-24,4,bns,44,36,12,9.201458551,276.9334667,3,2,1,0
ex4_bns_rundate2022-03-24,4,bns,15,12,6,2.136382533,81.51182554,3,2,1,0
ex4_bns_rundate2022-03-24,4,bns,44,47,6,1.653063473,53.99585401,3,2,1,0
ex4_bns_rundate2022-03-24,4,bns,46,42,12,8.029947477,192.7261489,2,1,1,0
ex4_bns_rundate2022-03-24,4,bns,23,27,12,7.268428778,213.195847,2,1,1,0
ex4_bns_rundate2022-03-24,4,bns,4,6,6,5.273215833,99.18720543,2,1,1,0
ex4_bns_rundate2022-03-24,4,bns,25,17,12,6.438168333,227.3685256,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,1,7,12,9.630762983,270.9805777,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,32,39,12,6.092069787,223.1457221,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,27,29,12,10.96939809,258.2173585,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,10,5,12,8.56993132,212.9683825,1,0,1,0
ex4_bns_rundate2022-03-24,4,bns,45,50,12,7.190479209,220.8150756,1,0,1,0
