method,example,driverid,emptymiles,ordermiles,percentempty
abcg,4,1229,0.0,406.1506948,0.0
abcg,4,1275,0.0,478.1373156,0.0
abcg,4,1298,0.0,478.1373156,0.0
abcg,4,1321,0.0,373.6014354,0.0
abcg,4,1331,123.6825211,299.65626631,0.29215967158760375
abcg,4,1443,92.92563677,743.32009137,0.11112240534452436
abcg,4,1470,507.4415216,507.4415216,0.5
abcg,4,1514,0.0,993.56912,0.0
abcg,4,1542,0.0,406.1506948,0.0
abcg,4,1571,0.0,406.1506948,0.0
abcg,4,1576,0.0,587.4184252,0.0
abcg,4,1636,0.0,650.2538832,0.0
abcg,4,1710,92.92563677000001,92.92563677,0.5
abcg,4,1735,220.7082420000458,220.708242,0.5000000000000518
abcg,4,1780,275.58011740003343,826.7403522,0.25000000000002276
abcg,4,1798,239.6481888,239.6481888,0.5
abcg,4,1804,275.58011740003343,826.7403522,0.25000000000002276
abcg,4,1850,0.0,390.0821894,0.0
abcg,4,1872,0.0,737.9575816,0.0
abcg,4,1956,0.0,881.1276378,0.0
abcg,4,1994,0.0,587.4184252,0.0
abcg,4,2099,0.0,587.4184252,0.0
abcg,4,2110,0.0,227.8905654,0.0
abcg,4,2155,0.0,347.8753922,0.0
abcg,4,2221,0.0,574.6326774,0.0
abcg,4,2308,0.0,1340.6466135,0.0
abcg,4,2324,0.0,510.6759574,0.0
abcg,4,2331,0.0,574.6326774,0.0
abcg,4,2353,0.0,510.6759574,0.0
abcg,4,2419,0.0,474.784285,0.0
abcg,4,2427,0.0,745.3296478,0.0
