method,example,orderid,ordercompleted,orderdist,ordershortestdist,orderdetour,ordertime,ordershortesttime,orderdelay
otd,4,110,1,785.1591463999999,769.89822,0.019822005043731498,41.073730041,29.07373004,0.4127437375421126
otd,4,111,1,579.6426963,564.3817699,0.027040076795364996,17.073730041,17.07373004,5.856959361949521e-11
otd,4,112,1,677.9569548000001,677.9541351,4.1591309117333295e-6,25.467738413,25.46773841,1.1779599518035866e-10
otd,4,113,1,1426.4345968,1385.63062,0.02944794681283826,117.460181794,57.46018179,1.0442013605749159
otd,4,114,1,254.7342814,254.7342814,0.0,9.621779987,9.621779987,0.0
otd,4,115,1,692.5201677,688.6033244,0.005688098156384652,29.764993770000004,23.76499377,0.2524721890554067
otd,4,116,1,1100.0627087999999,855.4680012,0.2859191778732774,45.20443652,39.20443652,0.153043903511765
otd,4,117,1,852.0552801000001,851.7395678,0.0003706676452939193,41.650121865,37.53191459,0.10972547816937794
otd,4,118,1,385.5142457,385.5142457,0.0,18.630303352,12.63030335,0.4750479727788959
otd,4,119,1,1083.5087914,409.2314644,1.6476673610339334,42.595287354999996,13.05967522,2.2615885646044416
otd,4,120,0,,,,,,
otd,4,121,1,275.5801174,275.5801174,0.0,9.70961287,9.70961287,0.0
otd,4,122,1,766.3319039,748.7035856,0.023545123382670823,33.548849963,33.54884996,8.942202534001353e-11
otd,4,123,1,240.8789548,240.8789548,0.0,6.800324389,6.800324389,0.0
otd,4,124,1,677.9569548000001,677.9541351,4.1591309117333295e-6,28.679927501,28.6799275,3.4867664311377666e-11
otd,4,125,1,249.8648853,249.8648853,0.0,7.49482566,7.49482566,0.0
otd,4,126,1,572.3979404,572.3979404,0.0,18.363327955000003,18.36332796,-2.7228164167780733e-10
otd,4,127,1,1083.5087914,409.2314644,1.6476673610339334,42.595287354999996,13.05967522,2.2615885646044416
otd,4,128,1,135.3026374,135.3026374,0.0,4.679927501000002,4.679927501,4.440892098500626e-16
otd,4,129,1,173.9376961,173.9376961,0.0,5.476895686999999,5.476895687,-1.1102230246251565e-16
otd,4,130,1,572.3979404,572.3979404,0.0,23.722140251,23.72214025,4.2154724155807344e-11
otd,4,131,1,1405.0332096,1400.800654,0.003021526002228772,69.16200976900001,57.16200977,0.2099296376611639
otd,4,132,1,1676.7066756,1619.34059,0.03542558369391575,69.16200976900001,63.16200977,0.09499381069172097
otd,4,133,1,291.6610287,291.6610287,0.0,10.322154080000004,10.32215408,4.440892098500626e-16
otd,4,134,1,472.21983449999993,459.8546127,0.026889415607681943,21.050518333,15.05051833,0.3986573665732349
otd,4,135,1,959.7502327,639.7395193,0.5002203299088889,57.434176667,27.20443652,1.111206259492854
otd,4,136,1,377.3568457,377.3568457,0.0,11.476895687000003,11.47689569,-2.6139446163142566e-10
otd,4,137,1,1214.6792256,1173.875249,0.03476006214012965,57.46018179399999,51.46018179,0.11659500210249818
otd,4,138,1,1045.23956073,818.8787098,0.2764278130827037,81.20443652,39.20443652,1.0713073245823557
otd,4,139,1,245.5998838,245.5998838,0.0,8.245203930999999,8.245203931,-2.220446049250313e-16
otd,4,140,0,,,,,,
otd,4,141,1,135.3026374,135.3026374,0.0,4.679927501000002,4.679927501,4.440892098500626e-16
otd,4,142,1,878.5595052499999,853.9893709,0.028771007213012463,53.073730041000005,35.07373004,0.5132046115560511
otd,4,143,1,855.8312169000001,840.6941626,0.018005423343473617,23.94232708,23.94232708,0.0
otd,4,144,1,959.7502327,639.7395193,0.5002203299088889,45.434176667,27.20443652,0.670101736295768
otd,4,145,1,1299.2685729,1241.902488,0.04619210079237721,57.16200976900001,51.16200977,0.11727451728290483
otd,4,146,0,,,,,,
otd,4,147,1,245.5998838,245.5998838,0.0,8.245203930999999,8.245203931,-2.220446049250313e-16
otd,4,148,1,470.41318420000005,459.8546127,0.02296067323975769,20.703897499999997,14.7038975,0.4080550751934986
otd,4,149,0,,,,,,
otd,4,150,1,629.12746135,592.0306214,0.06266033986937285,23.736752688000003,23.73675269,-8.425737885175977e-11
otd,4,151,1,1214.6792256,1173.875249,0.03476006214012965,57.46018179399999,51.46018179,0.11659500210249818
otd,4,152,1,959.7502327,639.7395193,0.5002203299088889,45.434176667,27.20443652,0.670101736295768
otd,4,153,1,766.3319039,748.7035856,0.023545123382670823,33.548849963,33.54884996,8.942202534001353e-11
otd,4,154,1,1548.1661930000002,1538.477491,0.006297590999334386,71.082065635,65.08206564,0.09219129626568523
otd,4,155,1,412.29758549999997,412.2975855,-1.3786988054240743e-16,25.268428778,19.26842878,0.31139020552769736
otd,4,156,1,366.95984387,339.2086953,0.08181143040999161,16.14914187,12.12779746,0.3315807691597119
otd,4,157,1,512.2381445999999,512.2381446,-2.2194137418327674e-16,26.904265068,20.90426507,0.2870227667850751
otd,4,158,1,1522.0068154,1464.64073,0.039167342697072186,85.311860141,61.31186014,0.3914413939847561
otd,4,159,1,316.07135887,285.5258886,0.10697968727029124,12.222808362000002,12.22280836,1.6362866617214422e-10
otd,4,160,1,334.3316596,334.3316596,0.0,14.703897499999997,8.7038975,0.6893463531710933
otd,4,161,1,852.0552801000001,851.7395678,0.0003706676452939193,47.650121865,37.53191459,0.2695894250408397
otd,4,162,1,792.7933718,771.503013,0.027595950296048985,35.476895686999995,29.47689569,0.20354924955803577
otd,4,163,1,1558.5961068,1501.230021,0.03821272223279089,75.16200976900001,63.16200977,0.18998762139927416
otd,4,164,1,795.7667678500001,739.2671624,0.0764265049546858,40.698885321000006,33.82442395,0.20323956976065527
otd,4,165,1,530.5710777,525.5361028,0.009580645122522049,23.722140251,17.72214025,0.3385595597574622
otd,4,166,0,,,,,,
otd,4,167,1,496.78456,496.78456,0.0,26.279942196999997,20.2799422,0.2958588312445978
otd,4,168,1,1033.18378,1015.555462,0.01735830159909084,51.46018179399999,39.46018179,0.30410402232462674
otd,4,169,0,,,,,,
otd,4,170,1,915.3191413000001,915.3191413,1.2420458897008323e-16,37.467738413000006,31.46773841,0.19067147199537193
otd,4,171,1,949.97103311,931.3233575,0.020022772391381758,29.94232708,29.94232708,0.0
otd,4,172,1,472.84840310000004,472.8484031,1.2021489020189528e-16,26.198913615000002,20.19891362,0.29704567819227123
otd,4,173,1,255.3379787,255.3379787,0.0,12.860577050000003,6.86057705,0.8745620020403391
otd,4,174,0,,,,,,
otd,4,175,0,,,,,,
otd,4,176,1,926.7690262000001,753.7078802,0.2296130245501447,60.092069787,42.09206979,0.42763399582874273
otd,4,177,1,254.7342814,254.7342814,0.0,15.621779986999996,9.621779987,0.6235852418270429
otd,4,178,1,1439.0071708,1232.442762,0.16760568130952289,84.092069787,64.23975592,0.30903470261815413
otd,4,179,1,1368.4439182,1364.211363,0.003102565566300892,75.069236822,56.83286764,0.32087716033468117
otd,4,180,1,1042.9058562,1040.868426,0.0019574329945137724,43.186124456,43.18612446,-9.262235423079801e-11
otd,4,181,1,954.1264208,740.8232246,0.2879272532461046,42.092069787,40.23975592,0.046031935946196034
otd,4,182,1,479.10095920000003,479.1009592,1.1864601347433082e-16,19.311860140999997,19.31186014,5.1781468002332076e-11
otd,4,183,1,651.3577057,651.3577057,0.0,32.198913614999995,26.19891362,0.22901712956600062
otd,4,184,1,1522.0068154,1464.64073,0.039167342697072186,67.311860141,61.31186014,0.09786034850842151
otd,4,185,0,,,,,,
otd,4,186,1,287.3163387,287.3163387,0.0,10.5722728,10.5722728,0.0
otd,4,187,0,,,,,,
otd,4,188,1,1402.2731102,1398.040555,0.003027491001503872,56.279942197,56.2799422,-5.330502705902518e-11
otd,4,189,1,1079.4951475999999,1077.457718,0.0018909601425304082,45.16200976900001,45.16200977,-2.2142288003124122e-11
otd,4,190,1,351.3374252,291.7528371,0.2042296784232367,20.001313277999998,20.00131328,-9.999356898049427e-11
otd,4,191,1,245.5998838,245.5998838,0.0,8.245203930999999,8.245203931,-2.220446049250313e-16
otd,4,192,1,1154.74802585,1130.301764,0.021628084312181897,38.545043680999996,37.97987556,0.014880725980977783
otd,4,193,1,572.3979404,572.3979404,0.0,23.722140251,23.72214025,4.2154724155807344e-11
otd,4,194,1,240.8789548,240.8789548,0.0,6.8003243889999965,6.800324389,-5.551115123125783e-16
otd,4,195,1,579.6426963,564.3817699,0.027040076795364996,17.073730040999997,17.07373004,5.856937157489028e-11
otd,4,196,0,,,,,,
otd,4,197,1,1552.3216157,1361.667837,0.14001489461632924,85.311860141,55.31186014,0.5423791556651125
otd,4,198,1,538.25915194,538.1007325,0.0002944048027289923,17.94232708,17.94232708,0.0
otd,4,199,1,470.41318420000005,459.8546127,0.02296067323975769,14.703897499999997,14.7038975,-2.220446049250313e-16
otd,4,200,0,,,,,,
otd,4,201,0,,,,,,
otd,4,202,1,1008.3048685,973.5472851,0.0357019981791946,59.073730041000005,41.07373004,0.4382363126862485
