varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,5031,4,4,54.0,60.0,38.0
y,0,5032,4,4,60.0,66.0,38.0
y,0,5033,4,4,66.0,72.0,38.0
y,0,5034,5,5,0.0,6.0,38.0
y,0,5035,5,5,6.0,12.0,38.0
y,0,5036,5,5,12.0,18.0,36.0
y,0,5037,5,5,18.0,24.0,36.0
y,0,5038,5,5,24.0,30.0,36.0
y,0,5039,5,5,30.0,36.0,36.0
y,0,5040,5,5,36.0,42.0,37.0
y,0,5041,5,5,42.0,48.0,37.0
y,0,5042,5,5,48.0,54.0,38.0
y,0,5043,5,5,54.0,60.0,38.0
y,0,5044,5,5,60.0,66.0,38.0
y,0,5045,5,5,66.0,72.0,38.0
y,0,5046,6,6,0.0,6.0,38.0
y,0,5047,6,6,6.0,12.0,37.00000000000064
y,0,5048,6,6,12.0,18.0,37.000000000001606
y,0,5049,6,6,18.0,24.0,37.0
y,0,5050,6,6,24.0,30.0,37.0
y,0,5051,6,6,30.0,36.0,37.0
y,0,5052,6,6,36.0,42.0,38.0
y,0,5053,6,6,42.0,48.0,38.0
y,0,5054,6,6,48.0,54.0,38.0
y,0,5055,6,6,54.0,60.0,38.0
y,0,5056,6,6,60.0,66.0,38.0
y,0,5057,6,6,66.0,72.0,38.0
y,0,5058,7,7,0.0,6.0,38.0
y,0,5059,7,7,6.0,12.0,37.0
y,0,5060,7,7,12.0,18.0,36.0
y,0,5061,7,7,18.0,24.0,36.000000000000085
y,0,5062,7,7,24.0,30.0,35.00000000000011
y,0,5063,7,7,30.0,36.0,35.00000000000011
y,0,5064,7,7,36.0,42.0,36.00000000000011
y,0,5065,7,7,42.0,48.0,36.00000000000011
y,0,5066,7,7,48.0,54.0,37.00000000000011
y,0,5067,7,7,54.0,60.0,37.00000000000011
y,0,5068,7,7,60.0,66.0,38.00000000000011
y,0,5069,7,7,66.0,72.0,38.00000000000011
y,0,5070,8,8,0.0,6.0,37.0
y,0,5071,8,8,6.0,12.0,37.0
y,0,5072,8,8,12.0,18.0,33.99999999999989
y,0,5073,8,8,18.0,24.0,33.99999999999989
y,0,5074,8,8,24.0,30.0,34.99999999999989
y,0,5075,8,8,30.0,36.0,33.99999999999989
y,0,5076,8,8,36.0,42.0,34.99999999999989
y,0,5077,8,8,42.0,48.0,33.99999999999989
y,0,5078,8,8,48.0,54.0,34.99999999999989
y,0,5079,8,8,54.0,60.0,34.99999999999989
y,0,5080,8,8,60.0,66.0,34.99999999999989
y,0,5081,8,8,66.0,72.0,34.99999999999989
y,0,5082,9,9,0.0,6.0,38.0
y,0,5083,9,9,6.0,12.0,38.0
y,0,5084,9,9,12.0,18.0,38.0
y,0,5085,9,9,18.0,24.0,38.0
y,0,5086,9,9,24.0,30.0,38.0
y,0,5087,9,9,30.0,36.0,38.00000006741573
y,0,5088,9,9,36.0,42.0,39.00000006741573
y,0,5089,9,9,42.0,48.0,39.00000006741573
y,0,5090,9,9,48.0,54.0,38.00000006741573
y,0,5091,9,9,54.0,60.0,38.000000006830646
y,0,5092,9,9,60.0,66.0,39.000000006830646
y,0,5093,9,9,66.0,72.0,39.000000006830646
y,0,5094,10,10,0.0,6.0,38.0
y,0,5095,10,10,6.0,12.0,37.99999999999892
y,0,5096,10,10,12.0,18.0,35.0
y,0,5097,10,10,18.0,24.0,35.0
y,0,5098,10,10,24.0,30.0,35.0
y,0,5099,10,10,30.0,36.0,34.0
y,0,5100,10,10,36.0,42.0,33.99999993258427
y,0,5101,10,10,42.0,48.0,33.99999993258427
y,0,5102,10,10,48.0,54.0,35.99999993258427
y,0,5103,10,10,54.0,60.0,35.99999993258427
y,0,5104,10,10,60.0,66.0,36.999999996666666
